x y z m s
0.78869 3.28324 -18.3527 29 0
0.799693 3.2726 -18.281 29 0
0.787883 3.26956 -18.223 29 0
0.7877 3.2593 -18.2379 29 1
0.757632 3.30089 -18.2495 29 1
0.74572 3.30168 -18.1804 29 1
0.735489 3.21903 -17.7836 29 1
0.768244 3.33521 -18.416 29 2
0.750262 3.29027 -18.1975 29 2
0.750979 3.27875 -18.3233 29 2
0.755765 3.31242 -18.4428 29 2
0.7704 3.26464 -18.3264 29 3
0.751658 3.21226 -18.1462 29 3
0.75162 3.24148 -18.3577 29 3
0.739207 3.22423 -18.3956 29 3
0.746836 3.20575 -18.4079 29 3
0.74069 3.16399 -18.2212 29 4
0.740883 3.14997 -18.2196 29 4
0.737175 3.12491 -18.2414 29 4
0.69381 3.05358 -18.1875 29 4
0.692008 3.0661 -18.3805 29 5
0.684067 3.03075 -18.2301 29 5
0.692868 3.01788 -18.3515 29 5
0.695347 3.00215 -18.2802 29 5
0.702046 2.99919 -18.3973 29 5
0.670962 2.96498 -18.2241 29 6
0.70006 2.97426 -18.3909 29 6
0.715833 2.95616 -18.3788 29 6
0.728833 2.96512 -18.4378 29 6
0.718697 2.92233 -18.4137 29 6
0.714496 2.9116 -18.4134 29 6
0.705909 2.87554 -18.252 29 7
0.718194 2.86698 -18.3154 29 7
0.709694 2.83244 -18.1462 29 7
0.719262 2.81195 -18.0318 29 7
1.00335 3.17873 -18.2272 29 7
1.12132 3.52417 -18.3593 29 8
1.08124 3.55522 -18.2098 29 8
1.35012 5.93023 -17.6069 29 8
1.93312 9.73712 -15.6079 29 8
1.68949 8.32092 -16.1268 29 8
1.28463 5.29495 -17.4262 29 9
0.879685 3.36946 -17.5963 29 9
1.29553 3.79895 -17.1636 29 9
1.33664 4.07979 -17.0485 29 9
1.13579 3.42187 -17.1449 29 10
1.45441 3.47067 -16.8122 29 10
1.34547 2.9536 -16.811 29 10
1.13982 2.66452 -16.6141 29 10
1.03847 2.40323 -16.4621 29 11
1.01294 2.28229 -16.4403 29 11
0.942667 1.55197 -16.3653 29 11
0.757185 1.36014 -16.1007 29 11
0.946097 2.15587 -15.7857 29 12
0.825137 1.40343 -15.7345 29 12
0.757211 1.19156 -15.6815 29 12
0.761613 1.14054 -15.5866 29 12
0.880231 1.39521 -15.1913 29 12
0.87205 1.29243 -15.3032 29 13
0.847197 1.32881 -15.195 29 13
0.686852 1.07795 -15.006 29 13
0.761206 1.17251 -14.8345 29 13
0.687194 1.03251 -14.5882 29 14
0.599961 0.738135 -14.3631 29 14
0.683063 0.975359 -14.2825 29 14
0.715255 1.0289 -14.0523 29 15
0.627998 0.780826 -13.9783 29 15
0.587607 0.709341 -13.917 29 15
0.618088 0.737769 -13.7203 29 15
0.653322 0.818105 -13.5875 29 15
0.643146 0.736978 -13.4936 29 16
0.449773 0.657146 -13.6014 29 16
0.528827 0.693684 -13.4978 29 16
0.762676 0.74812 -13.3393 29 17
0.47541 0.55822 -13.0647 29 17
0.415062 0.416633 -12.9367 29 17
0.478522 0.355272 -12.7836 29 17
0.592006 0.386018 -12.5959 29 17
0.585955 0.528618 -12.3711 29 18
0.430637 0.314139 -12.1481 29 18
0.485891 0.323974 -11.8454 29 18
0.400062 0.302271 -11.6637 29 19
0.418984 0.207371 -11.4501 29 19
0.428577 0.172014 -11.1498 29 19
0.396164 0.155805 -10.9225 29 20
0.413363 0.165292 -10.7477 29 20
