x y z m s
3.704 4.844 1.982 30 6
3.3875 4.82 1.235 30 6
3.25727 4.80091 0.892727 30 6
3.17 4.78786 0.695 30 7
3.11353 4.76882 0.568824 30 7
3.0665 4.7615 0.479 30 7
3.03696 4.76261 0.413913 30 7
3.01769 4.76808 0.366154 30 8
3.00034 4.76931 0.327241 30 8
2.98344 4.76469 0.294687 30 8
2.96686 4.76257 0.267714 30 8
2.95763 4.76079 0.245789 30 9
2.95268 4.76 0.227805 30 9
2.95114 4.76 0.212273 30 9
2.94532 4.75936 0.197447 30 9
2.939 4.7582 0.185 30 10
2.93396 4.75774 0.173962 30 10
2.93 4.75679 0.164107 30 10
2.92644 4.75593 0.155763 30 11
2.92323 4.75565 0.147742 30 11
2.92031 4.75262 0.140462 30 11
2.91809 4.75118 0.133382 30 11
2.91606 4.75113 0.127746 30 11
2.91378 4.75149 0.122568 30 12
2.91169 4.75182 0.117792 30 12
2.91237 4.75175 0.11375 30 12
2.91048 4.7553 0.110723 30 12
2.90802 4.75512 0.10686 30 13
2.90607 4.75427 0.103258 30 13
2.90391 4.75413 0.0998913 30 13
2.90221 4.75621 0.0973684 30 13
2.9 4.75602 0.0943878 30 14
2.89644 4.75525 0.0915842 30 14
2.89644 4.75525 0.0915842 30 14
2.89644 4.75525 0.0915842 30 14
2.89644 4.75525 0.0915842 30 15
2.89644 4.75525 0.0915842 30 15
2.89644 4.75525 0.0915842 30 16
2.89644 4.75525 0.0915842 30 16
2.89644 4.75525 0.0915842 30 16
2.89644 4.75525 0.0915842 30 17
2.89644 4.75525 0.0915842 30 17
2.89644 4.75525 0.0915842 30 17
2.89644 4.75525 0.0915842 30 17
2.89644 4.75525 0.0915842 30 17
2.89644 4.75525 0.0915842 30 18
2.89644 4.75525 0.0915842 30 18
2.89644 4.75525 0.0915842 30 18
2.89644 4.75525 0.0915842 30 18
2.89644 4.75525 0.0915842 30 19
2.89644 4.75525 0.0915842 30 19
2.89644 4.75525 0.0915842 30 19
2.89644 4.75525 0.0915842 30 19
2.89644 4.75525 0.0915842 30 20
2.89644 4.75525 0.0915842 30 20
2.89644 4.75525 0.0915842 30 20
2.89644 4.75525 0.0915842 30 20
2.89644 4.75525 0.0915842 30 20
2.89644 4.75525 0.0915842 30 21
2.89644 4.75525 0.0915842 30 21
2.89683 4.75856 0.0900962 30 21
2.89832 4.76056 0.0886916 30 22
2.90109 4.76164 0.0870909 30 22
2.90186 4.76372 0.0855752 30 22
2.90233 4.76724 0.0841379 30 22
2.90303 4.77034 0.0827731 30 23
2.90123 4.77377 0.0814754 30 23
2.89904 4.77824 0.08024 30 23
2.89648 4.78227 0.0790625 30 24
2.89359 4.78565 0.0779389 30 24
2.89037 4.78955 0.0768657 30 24
2.88708 4.79328 0.0758394 30 24
2.88371 4.7975 0.0748571 30 25
2.88217 4.80091 0.0737063 30 25
2.8813 4.80459 0.0726027 30 25
2.88027 4.80691 0.0715436 30 26
2.87987 4.80836 0.0705263 30 26
2.88065 4.81032 0.0695484 30 26
2.88158 4.81316 0.0686076 30 26
2.88211 4.81534 0.0678882 30 26
