x y z m s
1.99868 1.8982 18.9906 29 0
1.99966 1.89879 18.9884 29 0
2.00078 1.90135 18.9854 29 0
2.00584 1.90453 18.9789 29 1
2.00817 1.90925 18.9741 29 1
2.00874 1.91279 18.9721 29 1
2.00964 1.91568 18.9697 29 1
2.01056 1.92039 18.9686 29 2
2.01123 1.92363 18.9682 29 2
2.0119 1.93055 18.9684 29 2
2.01232 1.94184 18.9708 29 2
2.01223 1.94938 18.9732 29 3
2.01312 1.9551 18.9743 29 3
2.01368 1.96171 18.976 29 3
2.01375 1.96739 18.9776 29 3
2.01357 1.97026 18.9788 29 3
2.01426 1.97846 18.9798 29 4
2.01432 1.97996 18.9797 29 4
2.01509 1.98565 18.9779 29 4
2.02005 2.00848 18.9782 29 4
2.02212 2.01826 18.9789 29 5
2.02307 2.02499 18.9797 29 5
2.02374 2.03217 18.9814 29 5
2.02476 2.03978 18.9808 29 5
2.02464 2.04711 18.9822 29 5
2.02396 2.05167 18.9836 29 6
2.02301 2.05534 18.9854 29 6
2.02232 2.06024 18.9875 29 6
2.02158 2.06472 18.9891 29 6
2.02136 2.07223 18.989 29 6
2.02129 2.07694 18.9894 29 6
2.02097 2.08488 18.9897 29 7
2.02093 2.08737 18.9894 29 7
2.02037 2.09437 18.9844 29 7
2.02025 2.09882 18.9695 29 7
2.02187 2.10849 18.9561 29 7
2.02217 2.11181 18.9527 29 8
2.02198 2.12039 18.9067 29 8
2.02625 2.15322 18.7976 29 8
2.03564 2.21527 18.6678 29 8
2.04775 2.29042 18.5649 29 8
2.07842 2.45967 18.3776 29 9
2.10089 2.57559 18.2693 29 9
2.13676 2.77763 17.9557 29 9
2.14573 2.82846 17.8789 29 9
2.17443 3.00667 17.6078 29 10
2.19505 3.12156 17.4262 29 10
2.21902 3.24018 17.2222 29 10
2.23831 3.33669 17.0533 29 10
2.25264 3.41299 16.9264 29 11
2.27246 3.51258 16.7269 29 11
2.29002 3.58987 16.5695 29 11
2.30526 3.65911 16.3999 29 11
2.32726 3.76894 16.1326 29 12
2.33246 3.79629 16.0668 29 12
2.34493 3.86335 15.8795 29 12
2.34885 3.88423 15.81 29 12
2.35255 3.90227 15.7398 29 12
2.36794 3.9697 15.4893 29 13
2.37247 3.98984 15.4216 29 13
2.37977 4.02209 15.2836 29 13
2.39287 4.08085 15.0273 29 13
2.403 4.12686 14.8055 29 14
2.41251 4.17306 14.5528 29 14
2.41967 4.20487 14.3832 29 14
2.43043 4.24748 14.194 29 15
2.43584 4.26838 14.1156 29 15
2.44594 4.30687 13.9428 29 15
2.45643 4.33826 13.8266 29 15
2.46512 4.36162 13.7232 29 15
2.47829 4.39585 13.5896 29 16
2.48676 4.42295 13.4747 29 16
2.49086 4.44052 13.3739 29 16
2.50393 4.48313 13.0828 29 17
2.50699 4.49314 13.0129 29 17
2.51474 4.52346 12.8069 29 17
2.52113 4.5453 12.6594 29 17
2.53114 4.57639 12.4098 29 17
2.54298 4.60598 12.1229 29 18
2.54987 4.62461 11.8994 29 18
2.55798 4.64872 11.6783 29 18
2.56664 4.68112 11.4045 29 19
2.57237 4.70192 11.1935 29 19
2.58062 4.72981 10.9199 29 19
