x y z m s
0 -0.01 -0.01 44 39
0 -0.01 -0.01 44 39
0 -0.01 -0.01 44 39
0 -0.01 -0.01 44 39
0 -0.01 -0.01 44 39
0 -0.01 -0 44 39
0 -0.01 -0 44 40
0 -0.01 -0 44 40
0 -0.01 -0 44 40
0 -0.01 -0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 40
0 -0.01 0 44 41
0 -0.01 0 44 41
0 -0.01 0 44 41
0 -0 0 44 41
0 -0 0 44 41
0 -0 0 44 41
0 -0 0 44 41
0 -0 0 44 41
0 -0 0 44 41
0 0 0 44 41
0 0 0 44 41
0 0 0 44 41
0 0 0 44 41
0 0 0 44 41
0 0 0 44 41
0 0.01 0 44 42
0 0.01 0 44 42
0 0.01 0 44 42
0 0.01 0 44 42
0 0.01 0 44 42
0 0.01 0 44 42
0 0.01 0 44 42
0.01 0.01 0 44 42
0.01 0.01 0 44 42
0.01 0.01 0 44 42
0.01 0.01 0 44 42
0.01 0.01 0 44 42
0.01 0.01 0 44 42
0.01 0.01 0 44 42
0.01 0.01 0 44 42
0.01 0.01 0.01 44 42
0.01 0.01 0.01 44 42
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0.01 0.01 0.01 44 43
0 0.02 0.01 44 43
0 0.02 0.01 44 43
0 0.02 0.01 44 43
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
0 0.02 0.01 44 44
-0 0.02 0.01 44 44
-0 0.02 0.01 44 44
-0 0.02 0.01 44 44
-0 0.02 0.01 44 44
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.01 44 45
-0 0.02 0.02 44 45
-0.01 0.02 0.02 44 45
-0.01 0.02 0.02 44 45
-0.01 0.02 0.02 44 45
-0.01 0.02 0.02 44 45
-0.01 0.02 0.02 44 45
-0.01 0.02 0.01 44 46
-0.01 0.02 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 46
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.01 44 47
-0.01 0.01 0.02 44 47
-0.01 0.01 0.02 44 47
-0.01 0.01 0.02 44 47
-0.01 0.01 0.02 44 47
-0.01 0.01 0.02 44 47
-0.01 0.01 0.02 44 47
-0.01 0.01 0.02 44 47
-0.02 0.01 0.02 44 48
-0.02 0.01 0.02 44 48
-0.02 0.01 0.02 44 48
-0.02 0.01 0.02 44 48
-0.02 0.01 0.02 44 48
-0.02 0.01 0.02 44 48
-0.02 0.01 0.02 44 48
-0.02 0.01 0.02 44 48
-0.02 0.01 0.02 44 48
-0.02 0.01 0.03 44 48
-0.02 0.01 0.03 44 48
-0.02 0.01 0.03 44 48
-0.02 0.01 0.03 44 48
-0.02 0.01 0.03 44 48
-0.02 0.01 0.03 44 48
-0.02 0.01 0.03 44 48
-0.02 0.01 0.04 44 48
-0.02 0.01 0.04 44 48
-0.02 0.01 0.04 44 49
-0.02 0.01 0.04 44 49
-0.03 0.01 0.04 44 49
-0.03 0.01 0.04 44 49
-0.03 0.01 0.04 44 49
-0.03 0.01 0.04 44 49
-0.03 0.01 0.04 44 49
-0.03 0.01 0.04 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 49
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 50
-0.03 0.01 0.03 44 51
-0.03 0.01 0.03 44 51
-0.03 0.01 0.03 44 51
-0.03 0.01 0.03 44 51
-0.03 0 0.03 44 51
-0.03 0 0.03 44 51
-0.03 0 0.03 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 51
-0.03 0 0.02 44 52
-0.03 -0 0.02 44 52
-0.03 -0 0.02 44 52
-0.03 -0 0.01 44 52
-0.03 -0 0.01 44 52
-0.03 -0 0.01 44 52
-0.03 -0 0.01 44 52
-0.03 -0 0.01 44 52
-0.03 -0 0.01 44 52
-0.03 -0.01 0.01 44 52
-0.03 -0.01 0.01 44 52
-0.03 -0.01 0 44 52
-0.03 -0.01 0 44 52
-0.03 -0.01 0 44 52
-0.03 -0.01 0 44 52
-0.03 -0.01 -0 44 52
-0.03 -0.01 -0 44 52
-0.03 -0.01 -0 44 52
-0.04 -0.01 -0 44 53
-0.04 -0.01 -0 44 53
-0.04 -0.01 -0 44 53
-0.04 -0.01 -0 44 53
-0.04 -0.01 -0 44 53
-0.04 -0.01 -0.01 44 53
-0.04 -0.01 -0.01 44 53
-0.04 -0.02 -0.01 44 53
-0.04 -0.02 -0.01 44 53
-0.04 -0.02 -0.01 44 53
-0.04 -0.02 -0.01 44 53
-0.04 -0.02 -0 44 53
-0.04 -0.02 0 44 53
-0.04 -0.01 0.02 44 53
-0.03 -0.01 0.02 44 53
-0.03 -0.01 0.04 44 54
-0.03 -0.01 0.05 44 54
-0.01 0.01 0.08 44 54
-0.01 0.01 0.08 44 54
0.01 0.03 0.11 44 54
0.02 0.04 0.12 44 54
0.05 0.07 0.16 44 54
0.07 0.09 0.18 44 54
0.1 0.12 0.22 44 54
0.12 0.14 0.24 44 54
0.16 0.18 0.3 44 54
0.19 0.2 0.33 44 54
0.23 0.25 0.39 44 54
0.25 0.28 0.42 44 54
0.29 0.31 0.48 44 54
0.32 0.34 0.52 44 54
0.37 0.39 0.6 44 54
0.39 0.41 0.64 44 55
0.43 0.46 0.73 44 55
0.46 0.48 0.77 44 55
0.51 0.53 0.88 44 55
0.53 0.56 0.92 44 55
0.57 0.6 1.03 44 55
0.6 0.62 1.08 44 55
0.65 0.68 1.2 44 55
0.67 0.7 1.26 44 55
0.71 0.75 1.38 44 55
0.74 0.77 1.44 44 55
0.79 0.82 1.57 44 55
0.81 0.84 1.63 44 55
0.85 0.89 1.76 44 55
0.87 0.91 1.82 44 55
0.92 0.96 1.95 44 55
0.95 0.98 2.01 44 55
0.99 1.03 2.13 44 55
1.02 1.06 2.21 44 56
1.06 1.1 2.32 44 56
1.08 1.12 2.38 44 56
1.12 1.17 2.48 44 56
1.14 1.19 2.51 44 56
1.19 1.23 2.6 44 56
1.21 1.26 2.64 44 56
1.25 1.3 2.7 44 56
1.27 1.32 2.73 44 56
1.32 1.37 2.8 44 56
1.34 1.4 2.82 44 56
1.38 1.44 2.87 44 56
1.41 1.47 2.9 44 56
1.46 1.52 2.94 44 56
1.48 1.54 2.96 44 56
1.52 1.59 2.99 44 56
1.55 1.61 3 44 56
1.6 1.66 3.03 44 56
1.62 1.68 3.04 44 57
1.67 1.74 3.06 44 57
1.69 1.75 3.07 44 57
1.74 1.81 3.09 44 57
1.76 1.83 3.1 44 57
1.81 1.88 3.12 44 57
1.83 1.9 3.12 44 57
1.88 1.95 3.14 44 57
1.9 1.97 3.14 44 57
1.94 2.02 3.15 44 57
1.97 2.04 3.15 44 57
2.02 2.09 3.16 44 57
2.04 2.12 3.16 44 57
2.08 2.16 3.17 44 57
2.1 2.18 3.17 44 57
2.15 2.24 3.17 44 57
2.16 2.26 3.18 44 57
2.2 2.3 3.18 44 58
2.21 2.33 3.18 44 58
2.24 2.38 3.18 44 58
2.25 2.4 3.18 44 58
2.27 2.45 3.18 44 58
2.28 2.47 3.18 44 58
2.29 2.52 3.18 44 58
2.29 2.55 3.18 44 58
2.29 2.6 3.18 44 58
2.29 2.62 3.18 44 58
2.29 2.67 3.18 44 58
2.28 2.69 3.18 44 58
2.27 2.75 3.17 44 58
2.27 2.76 3.17 44 58
