x y z m s
-0.03 0.02 -0.01 18 19
-0.03 0.02 -0.01 18 19
-0.03 0.02 -0.01 18 19
-0.03 0.02 -0.01 18 19
-0.03 0.02 -0.01 18 19
-0.03 0.02 -0.01 18 19
-0.03 0.02 -0.01 18 19
-0.03 0.02 -0.01 18 19
-0.03 0.02 -0 18 19
-0.03 0.02 -0 18 19
-0.03 0.02 -0 18 19
-0.03 0.02 -0 18 20
-0.03 0.02 -0 18 20
-0.04 0.02 -0 18 20
-0.03 0.02 -0 18 20
-0.03 0.02 0 18 20
-0.03 0.02 0 18 20
-0.04 0.02 0 18 20
-0.04 0.02 0 18 20
-0.04 0.02 0 18 20
-0.04 0.02 0 18 20
-0.04 0.02 0.01 18 20
-0.04 0.02 0.01 18 20
-0.04 0.02 0.01 18 20
-0.04 0.02 0.01 18 20
-0.04 0.02 0.01 18 20
-0.04 0.02 0.01 18 20
-0.04 0.02 0.02 18 20
-0.04 0.02 0.02 18 21
-0.04 0.02 0.02 18 21
-0.04 0.02 0.02 18 21
-0.04 0.02 0.02 18 21
-0.04 0.02 0.02 18 21
-0.04 0.02 0.02 18 21
-0.04 0.02 0.02 18 21
-0.04 0.02 0.02 18 21
-0.04 0.02 0.03 18 21
-0.04 0.02 0.03 18 21
-0.04 0.02 0.03 18 21
-0.04 0.02 0.03 18 21
-0.04 0.02 0.03 18 21
-0.04 0.02 0.03 18 21
-0.04 0.02 0.03 18 22
-0.04 0.02 0.03 18 22
-0.04 0.02 0.03 18 22
-0.04 0.02 0.03 18 22
-0.04 0.02 0.03 18 22
-0.04 0.02 0.03 18 22
-0.04 0.02 0.03 18 22
-0.05 0.02 0.03 18 22
-0.04 0.02 0.03 18 22
-0.05 0.02 0.03 18 22
-0.05 0.02 0.03 18 22
-0.05 0.02 0.03 18 22
-0.05 0.02 0.03 18 22
-0.05 0.02 0.03 18 22
-0.05 0.02 0.03 18 22
-0.05 0.01 0.03 18 22
-0.05 0.01 0.03 18 23
-0.05 0.01 0.03 18 23
-0.05 0.01 0.03 18 23
-0.05 0.01 0.03 18 23
-0.05 0.01 0.03 18 23
-0.05 0.01 0.03 18 23
-0.05 0.01 0.02 18 23
-0.05 0.01 0.02 18 23
-0.05 0.01 0.02 18 23
-0.05 0.01 0.02 18 23
-0.05 0.01 0.02 18 23
-0.05 0.01 0.02 18 23
-0.05 0.01 0.01 18 23
-0.05 0.01 0.01 18 23
-0.05 0.01 0.01 18 23
-0.05 0.02 0.01 18 24
-0.05 0.02 0.01 18 24
-0.05 0.02 0.01 18 24
-0.05 0.02 0.01 18 24
-0.05 0.02 0 18 24
-0.05 0.02 0 18 24
-0.05 0.02 0 18 24
-0.05 0.02 -0 18 24
-0.05 0.02 -0 18 24
-0.05 0.02 -0 18 24
-0.06 0.02 -0 18 24
-0.05 0.02 -0.01 18 24
-0.06 0.02 -0.01 18 24
-0.06 0.02 -0.01 18 24
-0.06 0.02 -0.01 18 24
-0.05 0.02 -0.01 18 24
-0.05 0.02 -0.01 18 24
-0.05 0.02 -0.01 18 24
-0.05 0.02 -0.02 18 25
-0.05 0.02 -0.02 18 25
-0.05 0.02 -0.02 18 25
-0.05 0.02 -0.02 18 25
-0.05 0.02 -0.02 18 25
-0.05 0.02 -0.02 18 25
-0.05 0.02 -0.02 18 25
-0.06 0.02 -0.02 18 25
-0.06 0.02 -0.02 18 25
-0.06 0.02 -0.02 18 25
-0.06 0.02 -0.03 18 25
-0.06 0.02 -0.03 18 25
-0.06 0.02 -0.03 18 25
-0.06 0.02 -0.03 18 25
-0.06 0.02 -0.03 18 25
-0.06 0.01 -0.03 18 25
